audio,label
id04487/audio00000.wav,0
id04487/audio00001.wav,0
id04487/audio00002.wav,0
id04487/audio00003.wav,0
id04487/audio00004.wav,0
id04487/audio00005.wav,0
id04487/audio00006.wav,0
id04487/audio00007.wav,0
id04487/audio00008.wav,0
id04487/audio00009.wav,0
id05310/audio00000.wav,1
id05310/audio00001.wav,1
id05310/audio00002.wav,1
id05310/audio00003.wav,1
id05310/audio00004.wav,1
id05310/audio00005.wav,1
id05310/audio00006.wav,1
id00154/audio00000.wav,2
id00154/audio00001.wav,2
id00154/audio00002.wav,2
id00154/audio00003.wav,2
id00154/audio00004.wav,2
id00154/audio00005.wav,2
id00154/audio00006.wav,2
id00154/audio00007.wav,2
id00154/audio00008.wav,2
id00154/audio00009.wav,2
id00154/audio00010.wav,2
id00154/audio00011.wav,2
id00154/audio00012.wav,2
id00154/audio00013.wav,2
id00154/audio00014.wav,2
id00154/audio00015.wav,2
id00154/audio00016.wav,2
id00154/audio00017.wav,2
id00154/audio00018.wav,2
id00154/audio00019.wav,2
id00154/audio00020.wav,2
id00154/audio00021.wav,2
id00154/audio00022.wav,2
id00154/audio00023.wav,2
id00154/audio00024.wav,2
id00154/audio00025.wav,2
id00154/audio00026.wav,2
id00154/audio00027.wav,2
id00154/audio00028.wav,2
id00154/audio00029.wav,2
id00154/audio00030.wav,2
id00154/audio00031.wav,2
id00154/audio00032.wav,2
id00154/audio00033.wav,2
id00154/audio00034.wav,2
id00154/audio00035.wav,2
id00154/audio00036.wav,2
id00154/audio00037.wav,2
id00154/audio00038.wav,2
id00154/audio00039.wav,2
id00154/audio00040.wav,2
id00154/audio00041.wav,2
id00154/audio00042.wav,2
id00154/audio00043.wav,2
id00154/audio00044.wav,2
id00154/audio00045.wav,2
id00154/audio00046.wav,2
id00154/audio00047.wav,2
id00154/audio00048.wav,2
id00154/audio00049.wav,2
id00154/audio00050.wav,2
id00154/audio00051.wav,2
id00154/audio00052.wav,2
id00154/audio00053.wav,2
id00154/audio00054.wav,2
id00154/audio00055.wav,2
id00154/audio00056.wav,2
id00154/audio00057.wav,2
id00154/audio00058.wav,2
id00154/audio00059.wav,2
id00154/audio00060.wav,2
id00154/audio00061.wav,2
id00154/audio00062.wav,2
id00154/audio00063.wav,2
id00154/audio00064.wav,2
id00154/audio00065.wav,2
id00154/audio00066.wav,2
id00154/audio00067.wav,2
id00154/audio00068.wav,2
id00154/audio00069.wav,2
id00154/audio00070.wav,2
id00154/audio00071.wav,2
id00154/audio00072.wav,2
id00154/audio00073.wav,2
id00154/audio00074.wav,2
id00154/audio00075.wav,2
id00154/audio00076.wav,2
id00154/audio00077.wav,2
id00154/audio00078.wav,2
id00154/audio00079.wav,2
id00154/audio00080.wav,2
id00154/audio00081.wav,2
id00154/audio00082.wav,2
id00154/audio00083.wav,2
id00154/audio00084.wav,2
id00154/audio00085.wav,2
id00154/audio00086.wav,2
id00154/audio00087.wav,2
id00154/audio00088.wav,2
id00154/audio00089.wav,2
id00154/audio00090.wav,2
id00154/audio00091.wav,2
id00154/audio00092.wav,2
id00154/audio00093.wav,2
id00154/audio00094.wav,2
id00154/audio00095.wav,2
id00154/audio00096.wav,2
id00154/audio00097.wav,2
id00154/audio00098.wav,2
id00154/audio00099.wav,2
id00154/audio00100.wav,2
id00154/audio00101.wav,2
id00154/audio00102.wav,2
id00154/audio00103.wav,2
id00154/audio00104.wav,2
id00154/audio00105.wav,2
id00154/audio00106.wav,2
id00154/audio00107.wav,2
id00154/audio00108.wav,2
id00154/audio00109.wav,2
id00154/audio00110.wav,2
id00154/audio00111.wav,2
id00154/audio00112.wav,2
id00154/audio00113.wav,2
id00154/audio00114.wav,2
id00154/audio00115.wav,2
id00154/audio00116.wav,2
id00154/audio00117.wav,2
id00154/audio00118.wav,2
id00154/audio00119.wav,2
id00154/audio00120.wav,2
id00154/audio00121.wav,2
id00154/audio00122.wav,2
id00154/audio00123.wav,2
id00154/audio00124.wav,2
id00154/audio00125.wav,2
id00154/audio00126.wav,2
id00154/audio00127.wav,2
id00154/audio00128.wav,2
id00154/audio00129.wav,2
id00154/audio00130.wav,2
id00154/audio00131.wav,2
id00154/audio00132.wav,2
id00154/audio00133.wav,2
id00154/audio00134.wav,2
id00154/audio00135.wav,2
id00154/audio00136.wav,2
id00154/audio00137.wav,2
id00154/audio00138.wav,2
id00154/audio00139.wav,2
id00154/audio00140.wav,2
id00154/audio00141.wav,2
id00154/audio00142.wav,2
id00154/audio00143.wav,2
id00154/audio00144.wav,2
id00154/audio00145.wav,2
id00154/audio00146.wav,2
id00154/audio00147.wav,2
id00154/audio00148.wav,2
id00154/audio00149.wav,2
id00154/audio00150.wav,2
id00154/audio00151.wav,2
id00154/audio00152.wav,2
id00154/audio00153.wav,2
id00154/audio00154.wav,2
id00154/audio00155.wav,2
id00154/audio00156.wav,2
id00154/audio00157.wav,2
id00154/audio00158.wav,2
id00154/audio00159.wav,2
id00154/audio00160.wav,2
id00154/audio00161.wav,2
id00154/audio00162.wav,2
id00154/audio00163.wav,2
id00154/audio00164.wav,2
id00154/audio00165.wav,2
id00154/audio00166.wav,2
id00154/audio00167.wav,2
id00154/audio00168.wav,2
id00154/audio00169.wav,2
id00154/audio00170.wav,2
id00154/audio00171.wav,2
id00154/audio00172.wav,2
id00154/audio00173.wav,2
id00154/audio00174.wav,2
id00154/audio00175.wav,2
id00154/audio00176.wav,2
id00154/audio00177.wav,2
id00154/audio00178.wav,2
id00154/audio00179.wav,2
id00154/audio00180.wav,2
id00154/audio00181.wav,2
id00154/audio00182.wav,2
id00154/audio00183.wav,2
id00154/audio00184.wav,2
id00154/audio00185.wav,2
id00154/audio00186.wav,2
id00154/audio00187.wav,2
id00154/audio00188.wav,2
id00154/audio00189.wav,2
id00154/audio00190.wav,2
id00154/audio00191.wav,2
id00154/audio00192.wav,2
id00154/audio00193.wav,2
id00154/audio00194.wav,2
id00154/audio00195.wav,2
id00154/audio00196.wav,2
id00154/audio00197.wav,2
id00154/audio00198.wav,2
id00154/audio00199.wav,2
id00154/audio00200.wav,2
id00154/audio00201.wav,2
id00154/audio00202.wav,2
id00154/audio00203.wav,2
id00154/audio00204.wav,2
id00154/audio00205.wav,2
id00154/audio00206.wav,2
id00154/audio00207.wav,2
id00154/audio00208.wav,2
id00154/audio00209.wav,2
id00154/audio00210.wav,2
id00154/audio00211.wav,2
id00154/audio00212.wav,2
id00154/audio00213.wav,2
id00154/audio00214.wav,2
id00154/audio00215.wav,2
id00154/audio00216.wav,2
id00154/audio00217.wav,2
id00154/audio00218.wav,2
id00154/audio00219.wav,2
id00154/audio00220.wav,2
id00154/audio00221.wav,2
id00154/audio00222.wav,2
id00154/audio00223.wav,2
id00154/audio00224.wav,2
id00154/audio00225.wav,2
id00154/audio00226.wav,2
id00154/audio00227.wav,2
id00154/audio00228.wav,2
id00154/audio00229.wav,2
id00154/audio00230.wav,2
id00154/audio00231.wav,2
id00154/audio00232.wav,2
id00154/audio00233.wav,2
id00154/audio00234.wav,2
id00154/audio00235.wav,2
id00154/audio00236.wav,2
id00154/audio00237.wav,2
id00154/audio00238.wav,2
id00154/audio00239.wav,2
id00154/audio00240.wav,2
id00154/audio00241.wav,2
id00154/audio00242.wav,2
id00154/audio00243.wav,2
id00154/audio00244.wav,2
id00154/audio00245.wav,2
id00154/audio00246.wav,2
id00154/audio00247.wav,2
id00154/audio00248.wav,2
id00154/audio00249.wav,2
id00154/audio00250.wav,2
id00154/audio00251.wav,2
id00154/audio00252.wav,2
id00154/audio00253.wav,2
