audio,user,gender,age
id00485/audio00000.wav,id00485,male,old
id00485/audio00001.wav,id00485,male,old
id00485/audio00002.wav,id00485,male,old
id00485/audio00003.wav,id00485,male,old
id00485/audio00004.wav,id00485,male,old
id00485/audio00005.wav,id00485,male,old
id00485/audio00006.wav,id00485,male,old
id00485/audio00007.wav,id00485,male,old
id00485/audio00008.wav,id00485,male,old
id00485/audio00009.wav,id00485,male,old
id00485/audio00010.wav,id00485,male,old
id00485/audio00011.wav,id00485,male,old
id00485/audio00012.wav,id00485,male,old
id00485/audio00013.wav,id00485,male,old
id00485/audio00014.wav,id00485,male,old
id00485/audio00015.wav,id00485,male,old
id00485/audio00016.wav,id00485,male,old
id00485/audio00017.wav,id00485,male,old
id00485/audio00018.wav,id00485,male,old
id00485/audio00019.wav,id00485,male,old
id00485/audio00020.wav,id00485,male,old
id00485/audio00021.wav,id00485,male,old
id00485/audio00022.wav,id00485,male,old
id00485/audio00023.wav,id00485,male,old
id00485/audio00024.wav,id00485,male,old
id00485/audio00025.wav,id00485,male,old
id00485/audio00026.wav,id00485,male,old
id00485/audio00027.wav,id00485,male,old
id00485/audio00028.wav,id00485,male,old
id00485/audio00029.wav,id00485,male,old
id00028/audio00000.wav,id00028,male,old
id00028/audio00001.wav,id00028,male,old
id00028/audio00002.wav,id00028,male,old
id00028/audio00003.wav,id00028,male,old
id00028/audio00004.wav,id00028,male,old
id00028/audio00005.wav,id00028,male,old
id00028/audio00006.wav,id00028,male,old
id00028/audio00007.wav,id00028,male,old
id00028/audio00008.wav,id00028,male,old
id00028/audio00009.wav,id00028,male,old
id00028/audio00010.wav,id00028,male,old
id00028/audio00011.wav,id00028,male,old
id00028/audio00012.wav,id00028,male,old
id00028/audio00013.wav,id00028,male,old
id00028/audio00014.wav,id00028,male,old
id00028/audio00015.wav,id00028,male,old
id00028/audio00016.wav,id00028,male,old
id00028/audio00017.wav,id00028,male,old
id00028/audio00018.wav,id00028,male,old
id00028/audio00019.wav,id00028,male,old
id00028/audio00020.wav,id00028,male,old
id00028/audio00021.wav,id00028,male,old
id00028/audio00022.wav,id00028,male,old
